2021 Statistical Area Level 1 (SA1),State,Usual Resident Population,Score,Percentile within State
10104102517,NSW,301,993.6505187,43
10104102518,NSW,614,1013.670291,49
10104102519,NSW,243,958.4825686,31
10104102520,NSW,580,970.0010497,35
10104102521,NSW,340,945.8054741,28
10104102522,NSW,370,1031.413425,55
10104102523,NSW,214,971.1820228,35
10104102524,NSW,321,1004.278597,46
10104102525,NSW,519,944.3459239,27
10104102526,NSW,675,1018.831962,51
10104102527,NSW,557,983.9545467,40
10104102528,NSW,575,920.0875368,20
10104102529,NSW,361,904.3916542,17
10104102530,NSW,358,997.161005,44
10104102532,NSW,401,875.9784991,11
10104102601,NSW,538,962.6379194,33
10104102603,NSW,339,1002.11907,46
10104102604,NSW,313,960.9594706,32
10104102605,NSW,543,935.7187723,25
10104102606,NSW,336,1009.695002,48
10104102607,NSW,436,949.9388506,29
10104102608,NSW,389,895.8253709,15
10104102609,NSW,419,895.3697471,15
10104102610,NSW,250,865.3620806,9
10104102611,NSW,187,961.0701044,32
10104102613,NSW,343,961.124764,32
10104102614,NSW,693,970.9277568,35
10104102615,NSW,429,987.115241,41
10104102616,NSW,227,997.0647077,44
10104102617,NSW,253,997.0720313,44
10104102618,NSW,348,1021.967544,52
10104102619,NSW,329,1003.415488,46
10104102620,NSW,306,896.8867903,15
10104102621,NSW,393,883.0295782,12
10104102622,NSW,284,943.7502262,27
10104102623,NSW,296,890.3060999,14
10104102624,NSW,282,854.579908,8
10104102625,NSW,52,933.7705527,24
10104102626,NSW,559,944.8150094,27
10104102627,NSW,66,1102.21919,77
10104102701,NSW,266,942.504591,27
10104102702,NSW,342,873.3677909,11
10104102703,NSW,211,1024.181644,53
10104102704,NSW,282,917.7367391,20
10104102705,NSW,446,937.399929,25
10104102706,NSW,556,896.1683743,15
10104102707,NSW,558,943.9262213,27
10104102708,NSW,393,927.6435647,22
10104102709,NSW,685,987.7911012,41
10104102710,NSW,222,1040.972142,58
10104102712,NSW,482,979.0405199,38
10104102713,NSW,474,1000.130135,45
10104102715,NSW,25,860.9553238,9
10104102719,NSW,478,921.4532189,21
10104102720,NSW,341,962.9468314,33
10104102721,NSW,651,939.7022273,26
10104102722,NSW,105,835.1251853,6
10104102723,NSW,292,990.49845,42
10104102724,NSW,431,995.2696063,43
10104102725,NSW,326,948.7962015,28
10104102726,NSW,271,1002.47239,46
10104102728,NSW,313,875.6847706,11
10104102729,NSW,604,866.1536407,9
10104102730,NSW,46,1083.302443,71
10104102731,NSW,353,938.8795844,26
10104102732,NSW,361,941.0283013,26
10104102733,NSW,372,962.210451,32
10105153901,NSW,220,1080.17206,71
10105153902,NSW,258,925.8925225,22
10105153903,NSW,213,985.24616,40
10105153904,NSW,479,918.0452293,20
10105153905,NSW,313,881.8366668,12
10105153906,NSW,314,860.5104562,9
10105153909,NSW,274,780.1612293,3
10105153910,NSW,179,836.7776127,6
10105153911,NSW,473,984.8109867,40
10105153912,NSW,513,931.323883,23
10105153913,NSW,223,881.1006351,12
10105153914,NSW,400,997.6706824,44
10105153915,NSW,279,892.5283227,14
10105153916,NSW,605,1036.634284,57
10105153917,NSW,308,934.1161549,24
10105153918,NSW,327,863.8074554,9
10105153919,NSW,501,915.3867698,19
10105153920,NSW,817,961.4910541,32
10105153921,NSW,413,935.4153944,24
10105153922,NSW,579,1061.448196,65
10105153923,NSW,371,994.1789795,43
10105153924,NSW,439,764.3794988,2
10105153925,NSW,445,908.5892617,18
10105153926,NSW,433,873.4472267,11
10105153927,NSW,227,1017.834711,51
10105153928,NSW,103,989.1948172,41
10105153929,NSW,551,889.0890572,14
10105153930,NSW,390,1039.960304,58
10105153931,NSW,380,954.1453093,30
10105153932,NSW,423,943.4641383,27
10105153933,NSW,271,927.983691,22
10105153934,NSW,275,908.1818979,17
10105153935,NSW,507,972.4193617,36
10105153936,NSW,305,960.6326449,32
10105153937,NSW,508,767.4433806,2
10105153938,NSW,291,939.5952323,26
10105153939,NSW,353,914.7597329,19
10105153940,NSW,215,856.1824346,8
10105153941,NSW,216,948.9597106,28
10105153942,NSW,562,854.5890385,8
10105153943,NSW,399,960.1880732,32
10105153944,NSW,519,940.1019237,26
10105153945,NSW,742,852.0031714,7
10105153946,NSW,362,992.8226816,42
10105153947,NSW,325,885.3935446,13
10105153948,NSW,206,922.6406677,21
10105153949,NSW,117,889.5166739,14
10105153950,NSW,419,951.6574089,29
10105153951,NSW,357,1004.937356,46
10105153952,NSW,323,1024.314425,53
10105153953,NSW,328,895.9167094,15
10105153954,NSW,384,806.7229532,4
10105153955,NSW,291,1023.157606,52
10105153956,NSW,374,884.0684747,13
10105153957,NSW,476,871.0294607,10
10105153959,NSW,356,930.679665,23
10105153960,NSW,262,893.7619817,15
10105153961,NSW,280,960.2020953,32
10105153962,NSW,421,978.2294668,38
10105153963,NSW,196,719.9231338,1
10105153964,NSW,442,978.654519,38
10105153966,NSW,883,1016.389155,50
10105153968,NSW,211,1028.571799,54
10105153969,NSW,386,1024.0563,53
10105153970,NSW,369,940.5683079,26
10105154001,NSW,819,923.3355583,21
10105154002,NSW,417,953.7731673,30
10105154003,NSW,349,987.8433303,41
10105154004,NSW,699,1006.454026,47
10105154005,NSW,407,1027.166571,54
10105154006,NSW,514,1021.186832,52
10105154007,NSW,341,1033.458498,56
10105154008,NSW,345,979.210387,38
10105154009,NSW,207,964.004366,33
10105154010,NSW,483,888.688842,13
10105154011,NSW,308,919.4213143,20
10105154012,NSW,469,954.5072345,30
10105154014,NSW,372,1047.133088,60
10105154015,NSW,347,1073.661755,68
10105154016,NSW,593,1008.659978,48
10105154017,NSW,411,1033.775151,56
10105154018,NSW,318,1009.082971,48
10105154019,NSW,315,1020.662497,52
10105154020,NSW,539,972.4270734,36
10105154021,NSW,588,1005.198603,47
10105154022,NSW,295,1008.643165,48
10105154023,NSW,520,1000.524046,45
10105154024,NSW,374,908.2188898,17
10105154025,NSW,264,1026.114787,53
10105154026,NSW,291,1009.204044,48
10105154027,NSW,349,973.0885743,36
10105154028,NSW,339,1003.687951,46
10105154029,NSW,480,1011.10873,48
10105154030,NSW,292,918.9505534,20
10105154031,NSW,588,915.2689021,19
10105154032,NSW,277,952.99996,30
10105154033,NSW,410,981.1101318,39
10105154034,NSW,250,1091.592031,74
10105154035,NSW,251,1060.651549,64
10106154101,NSW,762,1031.87669,55
10106154102,NSW,483,974.9765338,37
10106154103,NSW,726,901.2226851,16
10106154104,NSW,258,995.8710377,44
10106154105,NSW,447,966.8598739,34
10106154106,NSW,541,992.8028495,42
10106154107,NSW,582,973.9297942,36
10106154108,NSW,278,1053.040187,62
10106154109,NSW,426,1011.897384,49
10106154111,NSW,592,971.0350989,35
10106154112,NSW,487,964.5933575,33
10106154113,NSW,384,975.0630058,37
10106154115,NSW,513,1094.110381,75
10106154117,NSW,143,1063.752815,65
10106154118,NSW,153,1033.500166,56
10106154201,NSW,293,1046.638615,60
10106154202,NSW,203,1024.485919,53
10106154203,NSW,248,1067.798712,67
10106154204,NSW,346,1010.057042,48
10106154206,NSW,230,970.5110522,35
10106154207,NSW,304,1011.913796,49
10106154208,NSW,407,1131.096848,85
10106154209,NSW,307,1109.677267,79
10106154210,NSW,410,1074.233634,69
10106154211,NSW,324,1120.938029,82
10106154212,NSW,290,925.9020973,22
10106154213,NSW,503,1141.976293,88
10106154216,NSW,416,1150.451991,90
10106154217,NSW,715,1166.261551,94
10106154219,NSW,302,963.5026102,33
10106154220,NSW,303,969.0368746,35
10106154222,NSW,303,1126.683979,84
10106154223,NSW,462,1102.573519,77
10106154224,NSW,274,1055.795872,63
10106154226,NSW,312,1098.934784,76
10106154227,NSW,271,1117.012709,81
10106154228,NSW,516,1098.057004,76
10106154229,NSW,126,971.3509694,35
10106154231,NSW,342,1112.723598,80
10106154232,NSW,252,1141.814468,88
10106154233,NSW,365,1145.187625,89
10106154234,NSW,348,1134.69014,86
10106154235,NSW,341,1141.392925,88
10106154236,NSW,196,1096.387994,75
10106154237,NSW,284,1147.604609,89
10106154238,NSW,304,1051.508525,62
10106154239,NSW,464,1110.433768,79
10106154240,NSW,689,1061.084623,65
10106154241,NSW,498,1152.763363,90
10106154242,NSW,299,1180.382462,97
10106154243,NSW,459,1077.660909,70
10106154301,NSW,609,869.7466091,10
10106154302,NSW,344,888.9669282,13
10106154303,NSW,428,872.361221,10
10106154304,NSW,339,865.2931532,9
10106154305,NSW,374,890.1826494,14
10106154306,NSW,561,954.5978591,30
10106154307,NSW,166,878.4156112,11
10106154308,NSW,506,769.5088921,2
10106154309,NSW,360,969.7729858,35
10106154310,NSW,228,1014.245008,49
10106154311,NSW,251,842.7054186,6
10106154312,NSW,304,810.0815833,4
10106154313,NSW,469,860.4798324,9
10106154314,NSW,450,869.0682916,10
10106154315,NSW,426,923.4126622,21
10106154316,NSW,591,965.9362087,34
10106154317,NSW,232,1017.548999,50
10106154318,NSW,346,797.9088681,3
10106154319,NSW,276,846.7307525,7
10106154321,NSW,446,1011.334594,48
10106154322,NSW,537,969.010314,35
10106154323,NSW,261,1019.842732,51
10106154324,NSW,247,943.1657427,27
10106154325,NSW,477,965.8424245,34
10106154326,NSW,409,1009.441787,48
10106154327,NSW,260,796.3489634,3
10106154328,NSW,449,984.5482696,40
10106154329,NSW,216,914.9840683,19
10106154330,NSW,354,879.8585989,12
10106154401,NSW,154,1019.294024,51
10106154402,NSW,307,960.1190747,32
10106154403,NSW,330,973.1382609,36
10106154404,NSW,421,1004.60362,46
10106154405,NSW,342,910.4798892,18
