"","sa1reg","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"183","20101148120",11,7,4,0,10,3,6,8,5,10
"184","20101148121",0,4,5,0,0,0,3,3,0,5
"185","20101148122",5,0,0,0,3,3,0,0,6,0
"186","20101148201",17,7,3,3,0,4,6,8,6,5
"187","20101148202",28,13,11,11,15,14,11,11,13,16
"188","20101148203",14,9,13,8,9,3,12,12,5,5
"189","20101148204",12,0,11,10,10,11,14,19,19,18
"190","20101148205",6,0,0,0,3,7,5,7,4,8
"191","20101148206",0,4,3,4,5,9,8,3,9,5
"192","20101148207",11,0,3,11,0,6,0,0,3,5
"193","20101148208",0,0,0,0,0,0,0,0,0,0
"194","20101148209",28,12,12,11,21,12,10,15,18,6
"195","20101148210",14,0,6,10,9,11,7,3,11,5
"196","20101148211",15,4,3,3,5,0,6,8,8,11
"197","20101148212",13,4,10,0,10,6,5,8,6,3
"198","20101148213",0,3,3,0,6,7,8,7,0,0
"199","20101148214",14,16,0,5,0,3,5,6,4,3
"200","20101148215",10,4,6,5,3,4,0,3,0,7
"201","20101148216",8,7,0,0,0,5,8,8,4,5
"202","20101148217",8,13,9,10,7,9,8,10,3,8
"203","20101148218",13,5,12,7,16,9,10,11,13,14
"204","20101148219",14,15,9,5,11,0,3,0,8,7
"205","20101148220",0,0,0,0,4,0,0,0,3,7
"206","20101148221",3,0,0,6,0,3,0,0,0,4
"207","20101148222",14,0,8,0,0,8,4,10,7,15
"208","20101148223",13,10,4,7,10,5,7,7,7,6
"209","20101148224",0,4,4,6,8,10,8,8,6,7
"210","20101148225",7,0,6,11,4,5,12,9,0,3
"211","20101148226",10,4,11,3,3,4,4,5,4,5
"212","20101148227",13,3,4,4,4,3,3,5,3,8
"213","20101148228",3,3,0,3,0,3,4,3,7,5
"214","20101148229",20,8,11,10,9,7,7,4,8,9
"215","20101148230",7,4,0,0,0,6,5,4,4,0
"216","20101148301",0,0,0,0,0,0,0,0,3,0
"217","20101148302",11,7,8,6,10,9,8,8,4,4
"218","20101148303",7,4,0,3,11,6,10,6,10,10
"219","20101148304",9,0,3,4,6,3,7,0,10,7
"220","20101148305",9,3,4,6,0,5,0,4,9,3
"221","20101148306",5,3,3,3,4,0,0,0,0,0
"222","20101148307",14,0,4,7,12,7,9,11,3,3
"223","20101148308",31,3,5,10,8,11,11,14,8,10
"224","20101148309",23,3,3,8,0,5,5,7,10,0
"225","20101148310",3,3,0,5,5,5,4,9,8,5
"226","20101148311",17,16,10,11,12,6,8,7,8,6
"227","20101148312",18,7,0,9,6,10,5,3,13,3
"228","20101148313",0,10,0,0,6,3,0,4,3,4
"229","20101148314",21,0,0,0,4,9,4,10,4,5
"230","20101148315",18,0,0,0,3,8,9,3,7,9
"231","20101148316",8,3,3,6,4,3,5,4,8,3
"232","20101148317",0,0,0,0,0,0,0,5,3,5
