2021 Statistical Area Level 1 (SA1),Usual Resident Population,Score,Percentile within Australia
10104102510,442,1038.560465,63
10104102511,410,969.5734948,37
10104102512,505,983.4200739,42
10104102513,469,964.8036891,35
10104102514,236,928.5149929,23
10104102516,321,957.8776779,32
10104102517,301,993.6505187,46
10104102518,614,1013.670291,54
10104102519,243,958.4825686,33
10104102520,580,970.0010497,37
10104102521,340,945.8054741,29
10104102522,370,1031.413425,61
10104102523,214,971.1820228,37
10104102524,321,1004.278597,50
10104102525,519,944.3459239,28
10104102526,675,1018.831962,56
10104102527,557,983.9545467,42
10104102528,575,920.0875368,21
10104102529,361,904.3916542,17
10104102530,358,997.161005,47
10104102532,401,875.9784991,12
10104102601,538,962.6379194,34
10104102603,339,1002.11907,49
10104102604,313,960.9594706,33
10104102605,543,935.7187723,26
10104102606,336,1009.695002,52
10104102607,436,949.9388506,30
10104102608,389,895.8253709,16
10104102609,419,895.3697471,15
10104102610,250,865.3620806,10
10104102611,187,961.0701044,33
10104102613,343,961.124764,33
10104102614,693,970.9277568,37
10104102615,429,987.115241,43
10104102616,227,997.0647077,47
10104102617,253,997.0720313,47
10104102618,348,1021.967544,57
10104102619,329,1003.415488,49
10104102620,306,896.8867903,16
10104102621,393,883.0295782,13
10104102622,284,943.7502262,28
10104102623,296,890.3060999,14
10104102624,282,854.579908,8
10104102625,52,933.7705527,25
10104102626,559,944.8150094,28
10104102627,66,1102.21919,85
10104102701,266,942.504591,28
10104102702,342,873.3677909,11
10104102703,211,1024.181644,58
10104102704,282,917.7367391,21
10104102705,446,937.399929,26
10104102706,556,896.1683743,16
10104102707,558,943.9262213,28
10104102708,393,927.6435647,23
10104102709,685,987.7911012,43
10104102710,222,1040.972142,64
10104102712,482,979.0405199,40
10104102713,474,1000.130135,48
10104102715,25,860.9553238,9
10104102719,478,921.4532189,22
10104102720,341,962.9468314,34
10104102721,651,939.7022273,27
10104102722,105,835.1251853,6
10104102723,292,990.49845,44
10104102724,431,995.2696063,46
10104102725,326,948.7962015,30
10104102726,271,1002.47239,49
10104102728,313,875.6847706,11
10104102729,604,866.1536407,10
